SYMBOL,SYMBOL P/E,ADJUSTED P/E
IREDA,18.87,18.87
BUTTERFLY,25.62,24.94
WONDERLA,46.20,42.40
AGARIND,11.27,11.27
HATSUN,60.04,60.04
CAPLIPOINT,21.21,21.21
GOCLCORP,5.77,6.20
GULFOILLUB,13.20,12.64
SNOWMAN,438.32,80.09
SHARDACROP,17.42,17.42
SUPERHOUSE,58.57,58.57
CIGNITITEC,11.49,11.36
PDSL,23.80,23.80
INTELLECT,26.71,25.53
MONTECARLO,12.16,12.16
GOODLUCK,22.43,22.43
FCL,26.47,26.47
CAMLINFINE,,359.33
GULPOLY,13.92,13.92
APOLSINHOT,28.45,28.65
CCHHL,28.04,28.04
LAMBODHARA,13.65,13.65
GRPLTD,46.79,44.37
GENUSPAPER,36.30,36.30
MOLDTKPAC,26.27,26.51
GREENLAM,331.86,414.18
VISHNU,26.30,26.30
GANECOS,73.03,73.03
LINC,15.92,15.92
MENONBE,23.03,23.03
HESTERBIO,33.60,33.60
JMA,6.37,6.37
MANAKALUCO,29.97,29.97
MANAKSTEEL,14.69,14.68
MANAKCOAT,28.00,28.00
ZENTEC,48.01,48.13
IMAGICAA,169.21,173.50
INOXWIND,30.18,30.18
LFIC,32.62,32.62
BYKE,37.77,37.77
AVANTIFEED,28.62,28.62
VRLLOG,19.36,19.36
PRIVISCL,39.93,39.93
BCG,2.28,2.28
UFO,15.23,15.23
TPLPLASTEH,19.80,19.80
NILAINFRA,10.90,10.90
ARROWGREEN,17.01,17.01
PNCINFRA,6.32,12.88
SKIPPER,25.77,24.64
ALANKIT,10.44,9.26
ORICONENT,37.32,48.16
ADANIENSOL,59.70,59.70
SYNGENE,47.49,42.27
RAMASTEEL,62.56,62.56
MUTHOOTCAP,26.59,26.59
SATIN,9.22,9.22
ARVSMART,34.29,34.29
POWERMECH,18.69,18.69
SHARDAMOTR,14.43,15.07
SHREEPUSHK,14.87,14.87
GUJGASLTD,19.35,19.35
SADBHIN,,0.61
IDFCFIRSTB,36.53,36.53
INDIGO,55.85,34.62
SHK,11.59,21.47
PERFECT,2.98,2.98
BALAXI,14.59,14.59
LUXIND,39.98,38.54
TTKHLTCARE,20.88,18.00
SALZERELEC,20.10,20.10
PILANIINVS,65.17,65.17
KRIDHANINF,3.79,28.66
LINCOLN,13.54,13.54
LALPATHLAB,45.19,43.51
ALKEM,27.50,27.16
NH,47.18,44.45
PRECAM,18.02,29.64
TEAMLEASE,15.33,14.77
QUICKHEAL,159.19,159.19
HITECH,23.46,23.46
VIDHIING,33.83,33.83
BHAGERIA,14.63,14.63
NECCLTD,18.52,18.52
KELLTONTEC,8.63,8.63
VIYASH,95.58,59.35
GOKULAGRO,19.97,19.97
KDDL,18.17,17.98
PDMJEPAPER,8.95,8.95
HCG,339.56,179.65
HECPROJECT,13.38,13.38
WEALTH,42.80,42.80
BHARATWIRE,16.12,16.12
CCAVENUE,19.88,19.99
THYROCARE,46.80,45.32
CROMPTON,33.82,31.84
SAGARDEEP,19.10,21.35
PARAGMILK,21.41,20.50
SHRIPISTON,28.97,28.03
UNITEDPOLY,29.45,29.45
ARMANFIN,58.81,58.81
ALBERTDAVD,43.20,43.20
BLS,17.72,17.72
ASPINWALL,18.98,27.76
SALONA,14729.51,14729.51
PREMEXPLN,59.60,54.51
CONTROLPR,10.64,10.93
INCREDIBLE,13.10,13.10
MAHASTEEL,167.26,177.40
DAMODARIND,8.25,8.25
MGL,11.08,11.07
MOLDTECH,57.82,57.82
POKARNA,24.53,24.53
COMPINFO,0.30,0.30
VIJIFIN,39.47,39.47
GPTINFRA,16.33,16.33
QUESS,46.71,12.58
GROBTEA,18.51,18.51
SOMICONVEY,24.92,24.92
LLOYDSENGG,52.05,52.05
LTM,29.05,26.65
GATECH,6.22,6.22
MINDTECK,21.46,20.09
ADVENZYMES,21.80,23.13
DBL,4.04,8.38
SPAL,16.90,16.52
NDGL,10.27,11.15
RBLBANK,27.39,27.39
MBAPL,45.94,45.94
CUPID,150.44,150.44
LTTS,28.89,28.32
GNA,17.07,17.07
CROWN,14.49,14.60
ICICIPRULI,50.59,50.59
MARATHON,17.98,17.82
HPL,22.31,21.44
JAIPURKURT,28.77,28.77
MASKINVEST,5700.61,5700.61
GRETEX,195.10,195.10
SAKAR,51.81,51.81
ALCODIS,11.74,11.74
PANSARI,39.18,39.18
DIRL,4.51,4.51
ARTNIRMAN,97.76,97.76
ENDURANCE,36.87,36.70
NIRAJISPAT,8.21,8.21
MAZDA,15.31,15.31
PNBHOUSING,10.33,10.33
VBL,49.12,49.12
KINGFA,50.56,50.56
AGROPHOS,6.84,6.94
PODDARMENT,17.57,17.57
ROLLT,1.93,
NBIFIN,27.10,27.10
JETFREIGHT,20.52,20.52
SFL,69.74,64.70
HEADSUP,3.71,3.71
TCIEXP,24.43,24.43
LAURUSLABS,71.67,71.67
TERASOFT,21.92,21.92
ITDC,69.42,69.42
HISARMETAL,27.54,27.54
LIBAS,19.45,7.70
SPCENET,14.65,14.65
MAHESHWARI,7.10,7.10
BHANDARI,16.30,16.30
BSE,65.77,65.77
PRICOLLTD,33.13,33.13
STEELCITY,9.00,9.00
KRISHANA,20.95,20.95
GLOBAL,23.44,23.44
NITIRAJ,130.35,130.35
AKASH,19.02,19.02
DMART,101.82,101.82
TASTYBITE,51.52,51.04
INTENTECH,27.64,27.64
AIRAN,25.86,24.43
ARIHANTSUP,24.36,24.36
URJA,227.92,227.92
LAXMICOT,3.48,21.88
EIFFL,226.14,226.14
NRAIL,35.18,28.31
SHANKARA,5.45,5.43
CNL,13.36,13.36
WIPL,62.63,62.63
FOCUS,136.05,131.06
DEVIT,2.49,
ASLIND,400.99,400.99
SIKKO,34.62,34.62
MKPL,23.27,23.27
DOLLAR,14.97,15.23
PANACHE,56.75,56.75
INFOBEAN,22.29,22.04
SCHAND,12.61,12.12
BHAGYANGR,17.00,17.00
PSPPROJECT,68.90,68.90
STARCEMENT,24.73,24.44
GLOBE,13.90,13.90
ERIS,42.84,41.50
CDSL,58.61,58.61
GTPL,68.90,67.11
ACCORD,0.12,0.12
AUBANK,31.74,31.74
SHRENIK,18.38,18.38
DYNPRO,17.32,17.32
STEELXIND,57.26,57.26
SALASAR,49.57,59.04
UNIVASTU,12.95,12.95
AVADHSUGAR,13.12,12.61
PALASHSECU,12.06,12.06
MAGADSUGAR,8.23,8.10
GANGESSECU,75.39,75.39
THEINVEST,20.70,21.30
SHANTI,4.25,4.25
TOTAL,6.93,6.93
OPTIEMUS,53.46,53.46
WEWIN,11.77,11.77
SIS,,36.34
COCHINSHIP,53.51,53.51
HALEOSLABS,18.68,18.68
LEXUS,17.95,
GEEKAYWIRE,8.93,8.93
SERVOTECH,67.48,67.48
ABCAPITAL,28.90,28.46
APEX,40.45,42.90
PASHUPATI,97.64,97.64
BRNL,4.09,4.09
MANAV,14.37,14.37
DIXON,37.56,42.90
DCAL,22.01,19.52
LASA,,145.04
MATRIMONY,27.02,27.02
CHOLAHLDNG,5.63,5.63
CAPACITE,10.86,10.86
ICICIGI,33.41,33.41
WORTHPERI,11.52,11.52
MPTODAY,5.64,5.80
SBILIFE,79.75,79.75
RMDRIP,23.47,23.47
DPWIRES,24.02,24.02
AARVI,11.79,11.34
AIROLAM,14.32,14.32
RKEC,11.26,11.26
GATECHDVR,1.00,1.00
GOLDSTAR,108.48,108.48
JASH,45.24,45.21
RELIABLE,11.77,11.77
TIRUPATIFL,93.03,93.03
OMFURN,13.10,13.10
GODREJAGRO,31.79,29.99
TCPLPACK,20.71,19.39
MASFIN,16.05,15.89
IEX,25.71,25.71
DPABHUSHAN,13.50,13.50
GICRE,8.18,8.18
TIINDIA,51.14,49.35
NAM-INDIA,42.11,42.11
NIACL,24.99,24.99
IFGLEXPOR,44.37,33.91
KHADIM,25.16,18.40
5PAISA,33.98,33.98
HDFCLIFE,73.11,73.11
AISL,9.87,9.87
VERTOZ,16.19,16.19
PULZ,1446.62,22.65
SILVERTUC,50.62,50.62
ZODIAC,21.99,21.99
FELIX,18.75,18.75
ICEMAKE,94.23,94.23
DNAMEDIA,34.50,34.50
SHRADHA,13.15,13.15
INNOVANA,18.33,18.33
SHALBY,426.25,426.25
TOUCHWOOD,17.08,17.08
ONEPOINT,30.48,29.87
SHIVATEX,12.41,12.41
AJOONI,15.06,15.06
MOKSH,10.58,10.58
BCONCEPTS,178.30,125.62
APOLLO,99.55,99.55
NEWGEN,22.24,20.65
AMBER,120.81,128.19
PRAXIS,4.23,
GALAXYSURF,22.70,21.92
PARAMPARA,66.00,66.00
SINTERCOM,240.95,240.95
SOUTHWEST,24.43,25.19
ARVEE,85.09,85.09
ASTERDM,89.02,81.19
GMMPFAUDLR,330.26,36.56
HGINFRA,10.46,10.74
HINDCON,41.23,41.23
SARVESHWAR,14.76,14.76
UNIINFO,,81.08
MACPOWER,33.23,32.66
TARACHAND,19.08,19.08
BDL,85.72,85.72
MDL,25.83,25.20
TSFINV,90.76,90.76
BANDHANBNK,27.79,27.79
HAL,32.04,32.04
URAVIDEF,133.06,133.06
MITTAL,18.35,18.35
SANDHAR,16.95,17.57
GIRIRAJ,17.58,17.58
KAPSTON,32.76,32.76
MIDHANI,59.82,59.82
CONTI,24.55,26.90
LEMONTREE,32.23,29.31
AVG,12.09,12.09
MMP,37.97,18.63
NARMADA,34.06,34.06
PIGL,16.72,16.65
BSHSL,40.72,40.72
MAHICKRA,104.96,104.96
AAKASH,43.92,43.92
AURIGROW,13.70,13.70
SOFTTECH,160.75,148.15
ORIENTELEC,42.24,39.67
INDOSTAR,112.13,112.13
BORORENEW,,40.49
SIRCA,40.58,40.58
SVLL,236.21,236.21
LATTEYS,48.47,47.55
SONAMLTD,35.01,35.01
ADANIGREEN,126.25,107.67
OSWALSEEDS,20.30,20.30
PRITI,43.46,43.46
ACCURACY,32.75,32.75
GAYAHWS,3.14,3.14
FINEORG,35.69,36.17
RITES,23.11,23.11
VARROC,45.86,25.64
REPL,40.64,35.99
AVROIND,41.16,40.07
HDFCAMC,39.71,39.71
TEMBO,13.10,13.31
CREDITACC,40.75,40.75
AARON,40.63,40.63
SIGIND,9.25,8.38
SUMIT,26.60,26.60
LAGNAM,8.33,8.33
RPPL,8.17,8.17
AKG,64.56,64.56
IRCON,23.88,23.88
AHLADA,27.24,27.24
SPECTRUM,50.73,50.73
AAVAS,16.35,16.35
GRSE,42.66,42.66
KRITIKA,21.90,18.59
PARIN,95.44,95.44
SILGO,43.70,43.42
VINNY,36.96,36.96
BBTCL,48.96,48.96
MARINE,52.43,52.43
IRISDOREME,44.20,44.20
ATGL,102.97,102.97
TECHNOE,29.65,29.65
SHUBHLAXMI,10.76,10.76
DRSDILIP,27.40,27.40
UNIPARTS,17.90,17.56
SHRIRAMPPS,39.40,39.40
TREJHARA,63.93,60.93
NILASPACES,22.86,22.86
AWHCL,14.41,18.17
DALBHARAT,30.84,30.40
RPSGVENT,607.34,22.24
CHALET,27.99,27.95
MSTCLTD,14.21,13.47
OSIAHYPER,4.39,4.39
ANUP,35.02,34.68
ARVINDFASN,140.52,95.03
PAR,8.30,8.30
KHFM,41.30,41.30
RVNL,59.50,59.50
POLYCAB,44.14,44.14
METROPOLIS,58.43,56.12
KPITTECH,27.10,25.63
SWSOLAR,,26.12
NEOGEN,196.70,648.55
EMAMIPAP,13.40,12.79
VCL,5.46,5.46
CONFIPET,19.86,19.86
PPL,12.81,12.81
DGCONTENT,27.23,7.54
INDIAMART,19.35,19.35
ATMASTCO,23.57,23.57
ABINFRA,51.90,51.33
OAL,1278.18,1278.18
DCMNVL,73.01,23.43
SATIA,9.32,9.32
WEL,92.28,92.28
AFFLE,45.56,45.56
CHEMCON,27.33,27.33
WESTLIFE,232.26,
DOLATALGO,11.72,11.72
HNDFDS,46.09,45.17
UJJIVANSFB,23.02,23.02
MAZDOCK,45.38,45.38
IRCTC,31.07,32.02
SAFARI,45.69,45.69
DCI,27.40,27.40
360ONE,36.44,36.44
IIFLCAPS,16.03,16.03
HPIL,137.40,137.40
SAMHI,16.37,23.10
FLUOROCHEM,56.58,55.66
KUANTUM,13.74,13.74
APOLLOPIPE,136.49,136.49
CHEMBOND,15.75,14.76
MGEL,10.80,15.30
ROUTE,15.49,
SBICARD,31.14,31.14
HOMEFIRST,23.00,23.00
SIGMA,18.65,18.65
CSBBANK,11.50,11.50
ASCOM,59.41,58.94
EASEMYTRIP,,111.96
ROSSARI,18.41,18.41
HINDWAREAP,,42.26
PRINCEPIPE,66.64,63.68
LIKHITHA,17.17,17.17
PARKHOTELS,31.69,30.98
ARTEMISMED,37.64,36.72
PATANJALI,30.66,30.31
SUMICHEM,40.29,39.40
LGHL,125.33,129.32
ATALREAL,79.68,79.68
ASALCBR,20.31,20.31
MAHEPC,24.50,21.71
UNIVPHOTO,16.58,16.58
BAFNAPH,32.44,27.37
COHANCE,60.08,56.42
POWERINDIA,150.65,143.68
STOVEKRAFT,51.41,51.41
BHARTIHEXA,43.90,43.67
KSOLVES,24.86,24.86
RAJRATAN,30.47,30.47
HAPPSTMNDS,31.28,28.01
AARTISURF,19.31,19.31
GLAND,34.09,33.41
BOROLTD,40.70,39.14
NDRAUTO,36.88,36.51
MAXHEALTH,67.89,65.93
PAVNAIND,65.45,40.32
AAATECH,37.22,37.22
KALYANKJIL,40.50,39.51
BTML,14.46,14.42
SHAREINDIA,11.23,11.23
UNIDT,22.67,22.67
SIGACHI,,20.51
ANGELONE,35.25,35.25
ADL,2156.77,
NIRAJ,7.29,7.51
VALIANTORG,31.74,42.12
CAMS,39.27,39.27
SURYODAY,21.62,21.62
ROML,12.32,12.32
UTIAMC,20.73,18.30
RAILTEL,33.98,33.22
BECTORFOOD,43.97,43.97
KHAICHEM,8.27,8.27
ORCHPHARMA,165.30,117.27
SUBEXLTD,530.53,161.30
NURECA,23.46,23.46
INDIGOPNTS,27.30,26.51
LXCHEM,47.98,47.98
RVHL,4.82,4.82
MTARTECH,239.47,229.75
FAIRCHEMOR,282.02,308.91
ANURAS,63.99,63.99
KANPRPLA,15.87,15.46
ISGEC,20.59,19.94
RUBFILA,13.29,13.29
STYLAMIND,27.01,27.01
PAKKA,67.57,67.57
CLSEL,13.31,13.31
PARTYCRUS,39.47,39.47
CARYSIL,27.84,27.59
MANCREDIT,29.27,28.76
SHAILY,54.63,54.63
MODISONLTD,10.27,12.69
FIBERWEB,6.53,6.53
BCLIND,7.58,7.58
BHAGCHEM,214.80,214.80
SBCL,45.72,45.23
AADHARHFC,20.34,20.09
SMCGLOBAL,15.58,15.58
QMSMEDI,11.29,11.29
NPST,75.97,75.97
ARIHANTCAP,20.44,20.09
NAZARA,34.16,8.13
IPL,15.92,15.92
GENCON,19.30,19.30
LODHA,25.74,25.74
HLEGLAS,32.65,30.54
BESTAGRO,27.30,27.30
VMARCIND,34.05,34.05
SONACOMS,60.10,56.31
DRCSYSTEMS,13.11,12.56
PARAS,85.19,85.19
CRAFTSMAN,53.20,50.61
DODLA,24.01,23.47
EXXARO,47.22,47.22
JUBLINGREA,40.05,38.68
ROLEXRINGS,18.62,18.45
SHYAMMETL,24.82,24.82
KIMS,84.48,86.61
MAKS,37.79,38.20
JSFB,13.77,13.77
TATVA,89.02,89.02
CLEAN,32.59,32.59
ALIVUS,24.04,23.24
ABSLAMC,29.78,29.72
DEEPINDS,,12.35
ETERNAL,1030.50,1030.50
BEWLTD,9.11,9.11
PIXTRANS,18.28,18.28
MEDIASSIST,48.26,48.49
WINDLAS,27.39,27.39
CARTRADE,39.06,38.05
KRSNAA,24.33,24.33
EQUIPPP,67.19,67.19
APTUS,12.99,12.99
SUPRIYA,27.60,27.55
ANMOL,6.47,6.47
BMETRICS,13.37,13.37
VIJAYA,65.33,64.99
ACUTAAS,65.88,65.88
MOL,31.67,31.67
SUYOG,27.17,27.17
SANSERA,54.74,52.29
BAJAJHCARE,21.49,21.49
PRITIKAUTO,9.84,9.84
AAREYDRUGS,61.93,61.93
GRINFRA,7.81,8.01
INTLCONV,6.45,6.45
DUGLOBAL,50.38,50.38
PAYTM,,146.07
STEELCAS,31.76,31.76
HPAL,26.59,25.58
UGROCAP,9.48,9.48
STARHEALTH,63.17,63.17
KPIGREEN,18.72,18.80
YUKEN,61.23,61.23
SGIL,98.42,99.82
ANANDRATHI,76.35,76.35
SJS,35.68,35.68
FINOPB,16.17,15.68
POLICYBZR,119.13,119.13
NYKAA,519.92,477.42
AWL,26.45,25.89
MONARCH,13.90,13.90
PRUDENT,50.03,50.03
EPIGRAL,15.37,15.37
NUVOCO,30.27,27.70
GOCOLORS,21.40,21.40
NGIL,73.29,73.29
IXIGO,116.35,112.81
CMSINFO,15.65,15.27
COASTCORP,21.93,21.93
TARSONS,54.67,52.36
MEDPLUS,50.65,50.65
TEGA,66.16,66.16
RATEGAIN,37.87,34.77
MANORG,14.74,13.08
LATENTVIEW,31.57,31.57
METROBRAND,90.96,90.96
MICEL,105.57,105.57
EMCURE,34.89,33.58
PASUPTAC,7.85,7.78
FOODSIN,14.30,14.30
PARADEEP,13.52,13.07
MAPMYINDIA,36.41,36.41
3IINFOLTD,6.40,5.98
TMB,8.57,8.57
DYNAMIC,6.93,6.93
DESTINY,62.29,62.29
MANYAVAR,29.13,29.13
GANESHBE,15.41,9.74
DMCC,27.76,27.76
MEDICAMEQ,46.59,46.59
FOCE,49.00,49.00
EMIL,39.98,40.81
SHIVALIK,27.23,27.23
GODAVARIB,71.42,28.18
WAAREEENER,28.97,27.20
DATAPATTNS,78.20,77.51
JSLL,38.40,38.40
COOLCAPS,31.23,31.23
MEDANTA,56.96,53.12
AFSL,7.61,7.61
MALLCOM,12.96,12.96
NIDAN,9.48,9.48
IRIS,48.22,48.22
ASIANENE,34.87,28.95
DIGJAMLMTD,60.59,60.59
SMLT,25.45,25.45
NRL,24.72,24.72
RADIANTCMS,13.49,13.49
GPTHEALTH,27.37,27.37
CHOICEIN,71.67,71.67
EUROBOND,14.99,14.99
HARIOMPIPE,14.51,14.51
GRWRHITECH,30.30,30.30
CAPITALSFB,8.81,8.81
DELHIVERY,249.32,208.25
DCMSRIND,7.24,7.24
VERANDA,11.49,32.46
RAJRILTD,43.38,43.38
EMUDHRA,39.64,39.64
DYCL,18.20,18.20
FIVESTAR,11.96,11.96
STARTECK,12.46,11.85
SBC,52.32,52.32
ELDEHSG,35.03,35.03
RICHA,8.48,8.48
ELIN,14.83,14.54
ANUHPHR,19.24,19.24
SHIGAN,16.18,16.18
TIMESCAN,4.67,4.67
MADHAVBAUG,24.30,21.20
SEJALLTD,37.39,37.39
MHLXMIRU,8.45,8.45
RELCHEMQ,16.86,16.86
GATEWAY,614.90,9.93
SYRMA,57.91,57.39
ZIMLAB,58.41,58.41
JTLIND,32.77,32.77
CAMPUS,53.86,53.86
RAINBOW,49.44,49.44
TBOTEK,54.77,57.07
VENUSPIPES,26.57,26.43
AETHER,72.45,69.65
ROTO,34.78,34.78
MEGASTAR,38.77,38.77
SANATHAN,36.56,36.56
INDOBORAX,17.82,20.87
LANDMARK,74.06,70.90
RACE,32.49,48.74
AVONMORE,19.52,19.52
ETHOSLTD,65.60,64.77
DREAMFOLKS,11.37,11.37
SONUINFRA,6.24,6.24
MSUMI,41.55,41.55
DHARMAJ,19.35,19.35
HARSHA,32.88,33.49
KRISHIVAL,33.13,33.13
GMRP&UI,9.31,
KCK,167.03,167.03
LICI,10.05,10.05
INDOAMIN,11.24,11.24
PROPEQUITY,15.23,15.23
TVSSCS,54.09,226.80
SWARAJ,18.38,18.38
AMEYA,15.57,15.57
INOXGREEN,80.87,80.87
FEDFINA,16.65,16.65
ACI,51.10,51.10
BIKAJI,67.80,66.95
RITCO,14.79,14.79
SURAJEST,11.10,11.10
VEEKAYEM,9.33,9.33
SKP,47.23,47.23
RILINFRA,14.61,14.61
HARDWYN,87.38,87.38
CHEVIOT,9.11,9.11
MUKKA,14.56,14.56
HMAAGRO,6.89,6.89
MEDICO,28.12,28.12
CMRSL,8.43,8.43
KFINTECH,46.23,45.48
YATHARTH,46.02,46.02
DCXINDIA,158.36,158.36
YATRA,35.75,33.71
KAYNES,69.24,68.97
NGLFINE,40.90,40.90
JFLLIFE,22.81,22.85
FIDEL,17.69,17.69
AXITA,162.56,162.56
PLAZACABLE,33.69,33.69
SENCO,11.14,11.14
USASEEDS,13.51,13.51
RADHIKAJWE,10.11,10.11
SPLPETRO,53.77,52.64
RAMRAT,35.42,34.37
VIVIANA,29.69,29.67
CSLFINANCE,6.35,6.35
AGNI,59.50,59.50
KORE,17.45,17.45
GOYALALUM,72.52,72.52
RUSTOMJEE,48.63,48.63
GENSOL,1.23,1.22
DBOL,33.24,33.24
SPORTKING,14.63,14.63
ALLETEC,11.61,11.61
AIIL,10.41,10.41
ABDL,55.40,54.93
MANORAMA,38.14,38.14
ARABIAN,7.55,7.04
INNOVACAP,31.75,31.75
GRMOVER,41.42,41.42
SYNCOMF,18.81,18.82
CEWATER,12.70,11.37
DJML,35.86,35.86
BAHETI,28.78,28.78
SULA,48.11,46.48
SIGNATURE,3349.56,3349.56
ANNAPURNA,16.28,17.60
KRITINUT,11.47,11.47
MEGAFLEX,37.89,37.89
KALAMANDIR,12.52,12.52
RAMAPHO,9.31,9.31
AVALON,74.16,74.16
CONCORDBIO,35.16,34.88
GODIGIT,57.96,57.96
GRCL,51.77,51.77
BAIDFIN,10.22,10.22
PHANTOMFX,10.25,10.25
AMIABLE,24.54,24.54
IPSL,23.18,23.18
KAMOPAINTS,37.11,37.11
BLUEJET,24.12,24.12
MVGJL,7.45,7.38
JIWANRAM,6.58,5.16
UYFINCORP,8.55,8.55
SCPL,30.67,30.67
SUKHJITS,36.53,36.53
ARHAM,30.75,30.75
FROG,15.64,15.61
MANKIND,48.77,46.83
SKYGOLD,28.34,28.34
ARIHANTACA,48.50,48.50
AEROENTER,12.95,12.91
DIVGIITTS,64.64,64.64
EIEL,18.01,17.47
PRITIKA,22.38,22.38
ANLON,26.99,26.99
MOTISONS,20.82,20.82
VELS,1.58,1.58
CMNL,256.63,256.63
SRIVASAVI,14.99,14.99
DIACABS,70.75,70.75
IKIO,49.05,49.05
MANOMAY,22.12,22.12
FAZE3Q,35.75,35.75
UMA,14.50,14.50
RBMINFRA,9.44,9.44
LLOYDSME,32.93,32.93
AARTIPHARM,30.16,29.82
RHL,11.90,11.90
SAHYADRI,11.93,11.72
SAHANA,14.43,14.43
NINSYS,26.77,26.77
DUCOL,58.23,58.23
SBFC,24.99,24.99
SBGLP,17.25,17.25
ASMS,54.95,66.47
HYBRIDFIN,17.86,17.86
SHERA,11.46,11.46
VIAZ,21.34,21.34
LRRPL,33.06,33.06
INDGN,27.25,27.25
ZAGGLE,27.75,27.75
GANDHAR,12.33,12.33
AGARWALFT,10.19,10.19
MCON,16.97,16.97
HONASA,71.53,69.83
RISHABH,20.88,20.88
IRMENERGY,18.06,18.06
AERONEU,91.93,91.93
DENEERS,16.56,16.56
JGCHEM,22.49,22.49
CYIENTDLM,31.55,31.55
AGUL,37.71,37.71
NIRMAN,1.46,1.46
AKI,25.60,20.50
YCCL,25.65,25.65
RPTECH,11.69,11.78
LORDSCHLO,17.16,17.16
SYSTANGO,12.76,12.76
RATNAVEER,18.58,18.58
MOS,28.34,28.34
SECMARK,65.19,65.19
AUROIMPEX,11.17,11.17
SOTAC,11.71,11.71
SPECTSTM,22.76,22.76
ATAM,21.93,21.93
AFIL,10.50,10.50
CRAYONS,12.33,12.33
INFOLLION,22.90,22.90
URBAN,10.24,10.24
INFINIUM,34.07,34.07
AARTECH,97.62,62.39
POCL,33.25,33.25
KRISHCA,21.19,21.19
ESFL,217.46,217.46
AATMAJ,55.46,55.46
DOLPHIN,31.82,31.82
TATATECH,45.80,85.64
REMUS,17.81,17.81
NOVAAGRI,15.05,15.05
REDTAPE,31.88,31.88
ASHOKAMET,4.57,4.57
SICALLOG,22.49,333.98
PENTAGON,21.69,21.69
CELLPOINT,14.68,
SEL,23.52,23.52
PROV,49.33,49.33
PTCIL,356.72,354.51
KDL,3.61,3.61
NETWEB,113.86,113.86
PYRAMID,22.42,22.42
MAGSON,817.26,817.26
AEROFLEX,79.04,79.04
EMSLIMITED,14.09,14.09
EFACTOR,11.86,11.86
GHCLTEXTIL,14.19,14.19
MONOPHARMA,30.86,30.86
VPRPL,,86.40
UDS,8.99,8.67
DENTALKART,43.13,43.13
SYNOPTICS,10.78,10.78
CLSL,14.15,14.68
SSFL,7.99,7.99
KIRLPNU,42.87,39.79
ATL,25.47,25.18
BALUFORGE,21.84,21.84
RRKABEL,34.97,33.97
COMMITTED,29.93,29.93
JSWINFRA,34.70,34.57
JLHL,43.85,42.80
NUVAMA,23.99,23.99
DRONE,84.97,84.97
GLOBALPET,34.66,34.66
YASHO,100.00,100.00
SERVICE,32.50,32.50
KEL,9.84,9.84
PRAMARA,49.13,49.13
NIITMTS,23.04,23.02
VINSYS,17.70,17.70
ZEAL,12.10,12.10
RACLGEAR,38.24,38.24
WCIL,22.62,22.62
ARVINDPORT,10.33,10.33
UNIHEALTH,18.89,18.89
ORIANA,17.73,17.73
ASKAUTOLTD,31.27,31.27
CHAVDA,16.37,16.37
ONDOOR,11.71,11.71
BAWEJA,9.14,9.14
TRANSTEEL,17.57,17.57
SANDUMA,17.40,16.69
PLADAINFO,4.75,4.75
LLOYDSENT,26.50,26.47
OLIL,136.38,136.38
RBZJEWEL,11.31,11.31
MASTERTR,8.34,8.34
KARNIKA,49.37,49.37
AKANKSHA,58.59,59.42
SCML,17.84,17.84
SAAKSHI,44.49,44.49
MUFIN,101.12,101.12
MAL,4.14,4.14
HIGREEN,33.56,33.56
PLATIND,27.99,27.74
MUFTI,11.25,11.01
FLAIR,24.59,24.59
BASILIC,12.36,11.41
CELLECOR,19.10,19.10
SRGHFL,14.29,14.29
JIOFIN,121.00,123.25
MCLOUD,14.73,14.56
MADHUSUDAN,13.89,17.15
GOYALSALT,21.63,21.63
TICL,5.83,3.32
WOMANCART,16.14,16.14
RCDL,6.30,6.30
BLSE,22.09,22.09
HOLMARC,32.11,32.11
SHANTHALA,13.70,13.70
TREL,10.50,19.84
MARCO,13.71,13.71
VISHNUINFR,14.19,14.19
KONTOR,10.59,10.59
RKSWAMY,23.86,21.80
EPACK,51.25,51.25
HAPPYFORGE,43.06,43.06
IBLFL,55.74,55.74
INDIASHLTR,18.25,18.25
CELLO,28.23,27.77
CANARYS,10.12,10.12
DIGIDRIVE,6.85,6.83
DOMS,62.30,62.30
MAITREYA,699.08,699.08
GLOSTERLTD,83.18,83.18
AMNPLST,25.99,25.99
SARTELE,12.66,12.66
VINYAS,61.37,61.37
SAIFL,8.78,8.78
JNKINDIA,37.31,37.31
AFFORDABLE,46.85,46.85
PARAGON,12.74,12.74
ARKADE,14.83,14.83
INOXINDIA,53.71,52.72
GRAPHISAD,9.33,9.20
SHEETAL,30.86,30.86
ROXHITECH,3.21,3.21
JYOTICNC,44.83,44.83
STANLEY,32.75,32.27
BAJEL,127.15,125.43
EFORCE,33.27,33.27
DEEM,60.76,60.76
APS,13.36,13.36
ENTERO,40.53,39.21
TECHLABS,20.97,20.97
SIGNPOST,26.22,26.22
ROCKINGDCE,13.50,13.50
BABAFP,14.40,14.40
SHREEOSFM,12.67,12.67
PRESSTONIC,9.76,9.76
HRHNEXT,11.79,11.79
INDOFARM,24.09,24.09
DEEDEV,32.74,31.42
MEGATHERM,19.09,19.09
OWAIS,5.73,5.34
SSDL,9.33,9.58
BRACEPORT,11.87,11.87
VR,48.83,48.83
KLL,6.28,6.28
ZENITHDRUG,19.52,19.52
SJLOGISTIC,7.87,7.87
PURVFLEXI,9.58,9.58
SRM,14.62,14.62
AZAD,97.56,97.56
PRATHAM,24.25,24.25
KONSTELEC,23.75,23.75
