SYMBOL,SYMBOL P/E,ADJUSTED P/E
NILKAMAL,19.35,17.69
NCC,12.72,12.29
ICIL,46.28,46.28
SEAMECLTD,20.86,20.86
ELGIEQUIP,42.61,41.50
AUROPHARMA,22.71,22.42
BBTC,4.51,4.61
EIHOTEL,32.50,27.45
LICHSGFIN,5.31,5.31
GICHSGFIN,5.95,5.58
BEPL,14.15,14.15
RAIN,32.03,32.03
BANARBEADS,38.58,38.58
MOREPENLAB,22.58,29.37
WSTCSTPAPR,21.78,21.78
EASTSILK,9.36,9.36
VENKEYS,41.23,41.23
GHCL,9.15,9.15
PRUDMOULI,7.68,7.68
PRAJIND,124.46,53.82
BPL,,4.73
PGHH,37.39,37.39
VESUVIUS,37.44,37.44
TFCILTD,26.73,26.73
BOMDYEING,134.83,128.82
NAVNETEDUL,7.94,22.86
GUJALKALI,140.22,140.22
AGI,10.99,10.87
GLAXO,39.91,40.52
TATACONSUM,69.71,70.73
ZEEL,14.11,13.93
CHOLAFIN,27.27,27.27
INDHOTEL,43.61,48.35
FMGOETZE,13.30,12.66
KOTAKBANK,20.35,20.35
ORIENTHOT,29.13,28.81
JAYSREETEA,5.96,212.84
GILLETTE,41.03,41.03
GOLDENTOBC,6.58,7.46
KANSAINER,27.93,26.43
FOSECOIND,45.49,38.59
ESABINDIA,39.94,43.28
3MINDIA,93.61,108.10
ANDHRAPAP,71.40,71.40
GABRIEL,55.41,53.26
SCHAEFFLER,53.57,53.57
AARTIIND,41.47,42.28
RALLIS,30.53,
AMJLAND,8.72,8.72
PRAKASH,7.59,7.59
MFSL,329.75,329.75
KSB,64.02,60.21
KOPRAN,45.36,45.36
HEG,37.59,37.59
GREAVESCOT,105.86,113.48
GODFRYPHLP,31.15,31.15
VARDMNPOLY,46.45,46.45
SURYAROSNI,16.12,16.12
TATAINVEST,125.20,125.20
GLFL,374.77,374.77
TIMKEN,61.74,61.74
SHREECEM,50.15,50.15
SAKHTISUG,14.08,14.08
IPCALAB,39.37,35.92
INGERRAND,49.55,46.31
JSWDULUX,6.98,38.99
HINDALCO,14.14,13.12
HINDZINC,20.78,20.82
HINDUNILVR,50.36,48.08
GSFC,9.88,9.88
GRASIM,20.21,19.72
AMBUJACEM,22.89,20.80
FINPIPE,23.45,23.45
FINCABLES,21.73,24.48
EIDPARRY,6.93,7.91
DCW,34.33,34.33
CGPOWER,106.18,103.88
SUDARCOLOR,18.78,10.52
CESC,14.08,14.08
BIRLACORPN,14.31,12.95
BHEL,134.00,134.00
BHARATGEAR,13.04,13.04
BEL,55.18,55.18
BAJFINANCE,31.03,30.73
ASHAPURMIN,14.76,14.58
NAVA,14.62,14.62
CORALFINAC,9.46,9.46
GREENPLY,22.46,22.63
TNPL,32.24,32.24
AUTOAXLES,16.69,15.82
REMSONSIND,13.82,13.35
DALMIASUG,9.08,9.08
NATCOPHARM,12.66,12.66
KHAITANLTD,8.08,8.08
SWARAJENG,24.99,24.68
MRF,26.23,25.57
GARFIBRES,29.67,29.67
ANDHRSUGAR,11.96,10.29
TNPETRO,7.05,7.61
TTKPRESTIG,84.18,32.44
STARPAPER,5.91,5.91
SKFINDIA,16.76,15.93
AUSOMENT,8.30,8.30
EIMCOELECO,24.30,24.30
JAYAGROGN,14.05,14.05
CUBEXTUB,16.03,16.03
MARICO,56.05,56.05
SILINV,10.40,10.40
REGENCERAM,1086.15,1086.15
BIOFILCHEM,20.38,20.38
KEYFINSERV,20.90,19.31
ZENITHEXPO,23.85,138.76
SANGAMIND,38.23,34.38
MOTHERSON,42.11,40.60
SOMATEX,62.43,437.02
VISAKAIND,9.24,18.16
AARTIDRUGS,16.47,16.47
STERTOOLS,24.18,32.56
CREST,19.28,19.28
INDIANCARD,4.90,8.22
HITECHGEAR,51.67,51.67
WENDT,62.93,62.93
DENORA,30.51,30.51
TVSSRICHAK,68.98,72.16
SHRIRAMFIN,26.31,26.31
PUNJABCHEM,21.93,20.52
MIRZAINT,55.40,
ELECTHERM,5.84,18.51
DYNAMATECH,195.96,159.79
GANESHHOU,12.20,12.20
MMFL,25.88,25.89
JAGSNPHARM,31.84,30.55
ALKYLAMINE,39.77,39.77
BOSCH-HCIL,299.76,109.69
MPHASIS,25.55,25.19
GUJRAFFIA,29.30,29.30
RUCHINFRA,13.87,13.87
RAMCOIND,20.55,20.57
KOTHARIPET,10.27,10.25
HERITGFOOD,19.99,20.13
INDRAMEDCO,21.59,21.59
BANKBARODA,7.54,7.54
MADRASFERT,153.58,153.58
GAIL,14.10,14.10
INDNIPPON,18.18,18.18
SKMEGGPROD,12.03,12.03
TCIFINANCE,6.98,6.98
BANKINDIA,6.94,6.68
CONCOR,29.94,29.94
ICICIBANK,17.12,17.12
KCPSUGIND,72.49,72.49
HUDCO,13.63,13.63
INDSWFTLAB,5.03,30.49
SAREGAMA,34.47,34.20
FDC,26.81,25.04
ENGINERSIN,16.94,16.94
ADROITINFO,24.73,
JAICORPLTD,11.48,11.41
ANTGRAPHIC,6.80,6.80
GMDCLTD,20.01,30.93
MAHAPEXLTD,16.23,57.13
ASAHIINDIA,71.24,68.76
TRIGYN,115.70,63.59
J&KBANK,6.50,6.50
KOTHARIPRO,13.43,21.30
CUB,14.93,14.93
SOUTHBANK,7.29,7.29
ASTRAZEN,106.40,102.90
CEMPRO,23.72,23.72
AXISBANK,15.99,15.99
CYIENT,17.90,17.44
SONATSOFTW,16.12,15.42
NOIDATOLL,2.50,2.50
CYBERTECH,12.01,12.01
KOKUYOCMLN,34.26,34.26
DHANBANK,11.91,11.91
SANGHVIMOV,15.67,15.04
STCINDIA,1.06,12.77
MANUGRAPH,8.02,10.55
VIPCLOTHNG,25.18,25.18
NATIONALUM,12.61,12.61
IVC,17.28,17.28
JINDALSTEL,61.37,
ALEMBICLTD,16.16,16.16
ICDSLTD,25.49,25.49
BSOFT,22.86,21.76
HCLTECH,23.91,22.91
ACCELYA,16.09,15.30
STAR,17.46,16.11
ZYDUSLIFE,19.09,18.40
GLENMARK,59.84,26.35
RAJESHEXPO,21.52,21.52
SHREERAMA,11.70,11.70
WOCKPHARMA,,220.71
NRBBEARING,25.21,76.54
IOB,14.08,14.08
RAMCOSYS,73.83,16.77
GVPIL,22.71,19.24
BIL,36.04,36.04
KTKBANK,7.94,7.94
BLBLIMITED,3.43,3.43
AJANTPHARM,35.50,35.50
BLUESTARCO,74.57,68.99
CALSOFT,16.32,16.32
TVSMOTOR,290.31,287.20
PNBGILTS,5.61,5.65
PNC,,4.83
TAJGVK,17.73,17.73
NLCINDIA,13.85,13.85
CHENNPETRO,6.94,6.94
KRBL,11.72,11.72
HAVELLS,54.97,53.75
GAEL,35.35,34.72
USHAMART,32.16,31.38
AXISCADES,70.55,65.68
BALAJITELE,20.46,20.46
UMIYA-MRO,4.19,4.19
TIPSMUSIC,37.43,37.43
STLTECH,6221.49,565.59
HIKAL,,92.50
TRIDENT,32.44,32.44
