Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-APR-2026,SBIMIDMOM,61.11,61.15,-0.0007,0.0074,0.0074,0.1414
16-APR-2026,SBIN,1067.20,1071.50,-0.0040,0.0153,0.0153,0.2923
16-APR-2026,SBINEQWETF,32.58,32.61,-0.0009,0.0110,0.0110,0.2102
16-APR-2026,SBINMID150,21.77,21.70,0.0032,0.0040,0.0040,0.0764
16-APR-2026,SBISILVER,243.51,240.70,0.0116,0.0359,0.0358,0.6840
16-APR-2026,SCHAEFFLER,3966.00,3942.70,0.0059,0.0202,0.0201,0.3840
16-APR-2026,SCHAND,163.67,161.58,0.0129,0.0242,0.0242,0.4623
16-APR-2026,SCHNEIDER,997.35,996.65,0.0007,0.0277,0.0276,0.5273
16-APR-2026,SCI,288.94,253.34,0.1315,0.0302,0.0315,0.6018
16-APR-2026,SCILAL,45.84,43.22,0.0589,0.0232,0.0236,0.4509
16-APR-2026,SCODATUBES,154.34,157.88,-0.0227,0.0270,0.0270,0.5158
16-APR-2026,SCPL,321.40,320.15,0.0039,0.0292,0.0291,0.5560
16-APR-2026,SDBL,84.37,83.07,0.0155,0.0292,0.0292,0.5579
16-APR-2026,SDL26BEES,137.62,137.46,0.0012,0.0035,0.0035,0.0669
16-APR-2026,SEAMECLTD,1548.90,1565.40,-0.0106,0.0234,0.0233,0.4451
16-APR-2026,SECMARK,126.33,125.38,0.0075,0.0409,0.0408,0.7795
16-APR-2026,SECURKLOUD,24.74,26.34,-0.0627,0.0392,0.0393,0.7508
16-APR-2026,SEDEMAC,1672.40,1706.20,-0.0200,0.0094,0.0095,0.1815
16-APR-2026,SEITINVIT,130.00,130.00,0.0000,0.0081,0.0080,0.1528
16-APR-2026,SEJALLTD,659.70,686.85,-0.0403,0.0340,0.0340,0.6496
16-APR-2026,SELECTIPO,42.83,42.37,0.0108,0.0112,0.0112,0.2140
16-APR-2026,SELMC,32.37,32.51,-0.0043,0.0326,0.0325,0.6209
16-APR-2026,SEMAC,285.07,268.16,0.0612,0.0330,0.0332,0.6343
16-APR-2026,SENCO,324.55,326.30,-0.0054,0.0273,0.0273,0.5216
16-APR-2026,SENORES,890.30,853.85,0.0418,0.0236,0.0237,0.4528
16-APR-2026,SENSEXADD,80.55,79.84,0.0089,0.0102,0.0102,0.1949
16-APR-2026,SENSEXBETA,861.96,858.31,0.0042,0.0095,0.0095,0.1815
16-APR-2026,SENSEXETF,80.02,79.95,0.0009,0.0094,0.0094,0.1796
16-APR-2026,SENSEXIETF,891.86,891.39,0.0005,0.0095,0.0094,0.1796
16-APR-2026,SEPC,7.65,7.38,0.0359,0.0397,0.0397,0.7585
16-APR-2026,SERVOTECH,84.19,83.76,0.0051,0.0345,0.0344,0.6572
16-APR-2026,SESHAPAPER,268.69,263.52,0.0194,0.0212,0.0212,0.4050
16-APR-2026,SETCO,23.95,25.16,-0.0493,0.0315,0.0316,0.6037
16-APR-2026,SETF10GILT,259.05,258.67,0.0015,0.0029,0.0029,0.0554
16-APR-2026,SETFGOLD,129.45,129.31,0.0011,0.0190,0.0189,0.3611
16-APR-2026,SETFNIF50,259.01,259.05,-0.0002,0.0086,0.0086,0.1643
16-APR-2026,SETFNIFBK,574.07,577.25,-0.0055,0.0107,0.0107,0.2044
16-APR-2026,SETFNN50,739.19,733.28,0.0080,0.0115,0.0115,0.2197
16-APR-2026,SETL,135.10,134.29,0.0060,0.0271,0.0270,0.5158
16-APR-2026,SETUINFRA,0.53,0.51,0.0385,0.0500,0.0500,0.9552
16-APR-2026,SEYAIND,12.15,11.44,0.0602,0.0328,0.0330,0.6305
16-APR-2026,SFL,548.05,536.60,0.0211,0.0211,0.0211,0.4031
16-APR-2026,SGFIN,516.75,463.45,0.1089,0.0261,0.0272,0.5197
16-APR-2026,SGIL,513.15,511.90,0.0024,0.0265,0.0264,0.5044
16-APR-2026,SGL,12.11,11.95,0.0133,0.0381,0.0381,0.7279
16-APR-2026,SGMART,550.90,555.10,-0.0076,0.0247,0.0247,0.4719
16-APR-2026,SHADOWFAX,140.94,142.91,-0.0139,0.0136,0.0136,0.2598
16-APR-2026,SHAH,5.08,5.08,0.0000,0.0315,0.0314,0.5999
16-APR-2026,SHAHALLOYS,72.14,70.04,0.0295,0.0332,0.0331,0.6324
16-APR-2026,SHAILY,1901.20,1882.60,0.0098,0.0330,0.0329,0.6286
16-APR-2026,SHAKTIPUMP,534.55,529.90,0.0087,0.0318,0.0318,0.6075
16-APR-2026,SHALBY,159.66,159.67,-0.0001,0.0253,0.0253,0.4834
16-APR-2026,SHALPAINTS,52.99,51.39,0.0307,0.0310,0.0310,0.5923
16-APR-2026,SHANKARA,126.21,127.98,-0.0139,0.0331,0.0330,0.6305
16-APR-2026,SHANTI,7.42,7.44,-0.0027,0.0324,0.0324,0.6190
16-APR-2026,SHANTIGEAR,478.65,478.40,0.0005,0.0221,0.0221,0.4222
16-APR-2026,SHANTIGOLD,195.07,192.51,0.0132,0.0225,0.0225,0.4299
16-APR-2026,SHARDACROP,1100.80,1092.80,0.0073,0.0342,0.0342,0.6534
16-APR-2026,SHARDAMOTR,862.55,847.30,0.0178,0.0276,0.0275,0.5254
16-APR-2026,SHAREINDIA,147.52,147.20,0.0022,0.0294,0.0293,0.5598
16-APR-2026,SHARIABEES,472.35,469.82,0.0054,0.0084,0.0084,0.1605
16-APR-2026,SHEKHAWATI,13.72,12.87,0.0640,0.0341,0.0343,0.6553
16-APR-2026,SHEMAROO,105.56,103.48,0.0199,0.0323,0.0322,0.6152
16-APR-2026,SHILCTECH,4774.70,4788.40,-0.0029,0.0352,0.0351,0.6706
16-APR-2026,SHILPAMED,411.95,414.20,-0.0054,0.0262,0.0261,0.4986
16-APR-2026,SHIVALIK,270.67,276.33,-0.0207,0.0304,0.0304,0.5808
16-APR-2026,SHIVAMAUTO,20.38,19.89,0.0243,0.0348,0.0347,0.6629
16-APR-2026,SHIVAMILLS,52.28,53.43,-0.0218,0.0249,0.0249,0.4757
16-APR-2026,SHIVATEX,153.78,152.75,0.0067,0.0280,0.0279,0.5330
16-APR-2026,SHIVAUM,330.00,339.80,-0.0293,0.0242,0.0242,0.4623
16-APR-2026,SHK,144.12,142.85,0.0089,0.0298,0.0298,0.5693
16-APR-2026,SHOPERSTOP,293.25,299.60,-0.0214,0.0227,0.0227,0.4337
16-APR-2026,SHRADHA,41.77,40.33,0.0351,0.0367,0.0367,0.7012
16-APR-2026,SHREDIGCEM,72.75,73.03,-0.0038,0.0235,0.0234,0.4471
16-APR-2026,SHREECEM,25110.00,24965.00,0.0058,0.0143,0.0143,0.2732
16-APR-2026,SHREEJISPG,359.65,364.25,-0.0127,0.0211,0.0210,0.4012
16-APR-2026,SHREEPUSHK,344.40,339.30,0.0149,0.0342,0.0341,0.6515
16-APR-2026,SHREERAMA,48.91,49.67,-0.0154,0.0342,0.0341,0.6515
16-APR-2026,SHREMINVIT,102.00,101.00,0.0099,0.0155,0.0155,0.2961
16-APR-2026,SHRENIK,0.39,0.39,0.0000,0.0307,0.0306,0.5846
16-APR-2026,SHREYANIND,173.22,162.27,0.0653,0.0268,0.0271,0.5177
16-APR-2026,SHRINGARMS,200.47,193.25,0.0367,0.0229,0.0230,0.4394
16-APR-2026,SHRIPISTON,3606.30,3645.00,-0.0107,0.0267,0.0266,0.5082
16-APR-2026,SHRIRAMFIN,1022.75,1020.95,0.0018,0.0237,0.0237,0.4528
16-APR-2026,SHRIRAMPPS,80.38,79.53,0.0106,0.0270,0.0269,0.5139
16-APR-2026,SHYAMCENT,5.47,5.05,0.0799,0.0328,0.0332,0.6343
16-APR-2026,SHYAMMETL,863.55,861.30,0.0026,0.0195,0.0194,0.3706
16-APR-2026,SHYAMTEL,10.64,9.88,0.0741,0.0375,0.0378,0.7222
16-APR-2026,SICALLOG,66.08,64.83,0.0191,0.0279,0.0278,0.5311
16-APR-2026,SIEMENS,3563.80,3576.10,-0.0034,0.0214,0.0214,0.4088
16-APR-2026,SIGACHI,23.33,23.29,0.0017,0.0345,0.0344,0.6572
16-APR-2026,SIGIND,51.42,52.54,-0.0215,0.0300,0.0299,0.5712
16-APR-2026,SIGMA,47.21,46.03,0.0253,0.0340,0.0339,0.6477
16-APR-2026,SIGMAADV,190.23,180.86,0.0505,0.0363,0.0364,0.6954
16-APR-2026,SIGNATURE,806.95,801.45,0.0068,0.0230,0.0229,0.4375
16-APR-2026,SIGNPOST,249.91,245.54,0.0176,0.0310,0.0309,0.5903
16-APR-2026,SIKKO,4.85,4.94,-0.0184,0.0368,0.0367,0.7012
16-APR-2026,SIL,15.51,15.30,0.0136,0.0243,0.0243,0.4643
16-APR-2026,SILGO,74.42,75.51,-0.0145,0.0306,0.0305,0.5827
16-APR-2026,SILINV,439.85,439.30,0.0013,0.0240,0.0240,0.4585
16-APR-2026,SILLYMONKS,16.82,17.47,-0.0379,0.0348,0.0348,0.6649
